keyword,query,sem_n_results,sem_avg_score,sem_n_clusters,sem_clusters,kw_n_results,kw_avg_score,kw_n_clusters,kw_clusters,overlap_n_clusters,cluster_overlap_ratio
cream,whipping cream,10,0.6689201593399048,1,[0],10,0.15466974773177078,2,"[0, 1]",1,1.0
cream,sunscreen cream,10,0.7179380655288696,1,[1],10,0.10172418655394004,1,[1],1,1.0
cream,保濕面霜,10,0.772624135017395,1,[1],0,,0,[],0,0.0
vitamin,vitamin c,10,0.8063217997550964,1,[1],10,0.059119738651465234,3,"[1, 3, 10]",1,1.0
vitamin,vitamin d,10,0.7785577774047852,1,[5],10,0.059119738651465234,3,"[1, 3, 10]",0,0.0
vitamin,multivitamin,10,0.686621367931366,4,"[1, 3, 9, 10]",10,0.10103712622463887,6,"[3, 5, 6, 8, 9, 10]",3,0.75
vitamin,維他命C,10,0.7290045619010925,2,"[1, 3]",10,0.07748742994911546,3,"[1, 8, 10]",1,0.5
vitamin,維他命,10,0.5257537961006165,3,"[1, 6, 8]",10,0.05855860949738131,5,"[0, 1, 4, 6, 10]",2,0.6666666666666666
protein,whey protein,10,0.6663016080856323,1,[1],10,0.1461234821019129,1,[1],1,1.0
protein,protein bar,10,0.6676976084709167,1,[1],10,0.2204473225120956,2,"[0, 1]",1,1.0
protein,plant protein,10,0.6358909010887146,1,[1],10,0.11810268825459283,2,"[0, 1]",1,1.0
protein,蛋白質,10,0.6548157930374146,1,[1],10,0.05342957345617899,2,"[0, 1]",1,1.0
brush,makeup brush,10,0.6792914271354675,2,"[0, 1]",10,0.22307232791763404,2,"[0, 1]",2,1.0
brush,toothbrush,10,0.6496787667274475,1,[0],10,0.11698064467685135,2,"[0, 1]",1,1.0
brush,paint brush,10,0.5945081114768982,2,"[0, 1]",10,0.13554278940783335,2,"[0, 1]",2,1.0
brush,化妝掃,10,0.6651847958564758,1,[1],9,0.05912150923677295,2,"[0, 1]",1,1.0
brush,牙刷,10,0.6879972219467163,1,[0],10,0.10743888361325371,2,"[0, 1]",1,1.0
bag,backpack,10,0.54765784740448,1,[0],10,0.13041573185035446,1,[0],1,1.0
bag,handbag,10,0.6294859647750854,1,[0],7,0.11251033063713858,1,[0],1,1.0
bag,shopping bag,10,0.6325592994689941,1,[0],10,0.1667706642134929,2,"[0, 1]",1,1.0
bag,手袋,10,0.4739822447299957,2,"[0, 1]",8,0.09266690940238063,2,"[0, 1]",2,1.0
bag,背包,10,0.6576880812644958,1,[0],10,0.10845099456200114,1,[0],1,1.0
